Date	Query	IsImplicitIntent	Country	PopularityScore
2020-07-01	oregon covid stats	False	United States	1
2020-07-01	coronavirus update mi	False	United States	1
2020-07-01	vaccine for coronavirus	False	Australia	2
2020-07-01	arizona governor coronavirus	False	United States	1
2020-07-01	oregon covid updates	False	United States	1
2020-07-01	corona virus updates	False	Kenya	1
2020-07-01	coronavirus cases by day	False	United States	1
2020-07-01	track and trace covid	False	United Kingdom	1
2020-07-01	coronavirus saskatchewan	False	Canada	1
2020-07-01	gatlinburg tn coronavirus	False	United States	1
2020-07-01	oregon department of health	True	United States	1
2020-07-01	beijing coronavirus	False	United States	1
2020-07-01	sintomas covid 19	False	Brazil	13
2020-07-01	coronavirus update mexico	False	United States	1
2020-07-01	covid 19 russie	False	France	1
2020-07-01	oregon governor	True	United States	1
2020-07-01	oregon health authority	True	United States	1
2020-07-01	covid cases in las vegas nevada	False	United States	1
2020-07-01	oregon health authority coronavirus	False	United States	1
2020-07-01	risikogebiete coronavirus	False	Switzerland	5
2020-07-01	síntomas del coronavirus	False	Argentina	1
2020-07-01	coronavirus update md	False	United States	1
2020-07-01	covid symptome	False	Germany	1
2020-07-01	gator face mask	True	United States	1
2020-07-01	usa covid 19 update	False	Australia	2
2020-07-01	oregon health department	True	United States	1
2020-07-01	coronavirus cases by state	False	United States	1
2020-07-01	covid 19 gov	False	United Kingdom	1
2020-07-01	coronavirus statistics	False	Canada	12
2020-07-01	haven holidays coronavirus	False	United Kingdom	1
2020-07-01	oregon mask requirement	True	United States	1
2020-07-01	california covid restrictions	False	United States	1
2020-07-01	oregon news	True	United States	1
2020-07-01	circulación covid	False	Argentina	1
2020-07-01	covid 19 royaume uni	False	France	1
2020-07-01	coronavirus update massachusetts	False	United States	1
2020-07-01	oregon phase 2	True	United States	1
2020-07-01	covid cases in las vegas	False	United States	1
2020-07-01	oregon phase 2 reopening	True	United States	1
2020-07-01	how to get tested for coronavirus uk	False	United Kingdom	1
2020-07-01	coronavirus update maryland	False	United States	1
2020-07-01	oregon reopening	True	United States	1
2020-07-01	covid monitor	False	Germany	1
2020-07-01	gator mask	True	United States	1
2020-07-01	usa covid	False	Australia	1
2020-07-01	oregon state coronavirus update	False	United States	1
2020-07-01	coronavirus cases by state in usa	False	United States	1
2020-07-01	covid testing in ct	False	United States	1
2020-07-01	coronavirus statistics in canada	False	Canada	3
2020-07-01	edf energy	True	United Kingdom	3
2020-07-01	oregon state of emergency	True	United States	1
2020-07-01	arizona department of health services covid	False	United States	1
2020-07-01	coronavirus update map	False	United States	1
2020-07-01	oregon travel restrictions	True	United States	1
2020-07-01	covid 19 respirator	False	France	1
2020-07-01	oregon travel restrictions coronavirus	False	United States	1
2020-07-01	oregon travel restrictions covid 19	False	United States	1
2020-07-01	cdc approved disinfectant	True	United States	1
2020-07-01	coronavirus update maine	False	United States	1
2020-07-01	covid 19 france	False	United Kingdom	1
2020-07-01	oregon unemployment department	True	United States	1
2020-07-01	orlando coronavirus	False	United States	1
2020-07-01	covid mask protection	False	Germany	1
2020-07-01	gator masks	True	United States	1
2020-07-01	usa coronavirus update	False	Australia	8
2020-07-01	coronavirus update ma	False	United States	1
2020-07-01	coronavirus cases by states	False	United States	1
2020-07-01	covid spit test	False	United States	1
2020-07-01	coronavirus statistics in united states	False	Canada	5
2020-07-01	covid cases in iowa	False	United States	1
2020-07-01	orlando covid 19 update	False	United States	1
2020-07-01	covid 19 figures	False	United Kingdom	1
2020-07-01	orlando florida coronavirus	False	United States	1
2020-07-01	oscar health	True	United States	1
2020-07-01	covid 19 protection mask	False	France	1
2020-07-01	coronavirus	False	Chile	35
2020-07-01	coronavirus update louisiana	False	United States	1
2020-07-01	reisewarnungen eda	True	Switzerland	2
2020-07-01	osha covid	False	United States	1
2020-07-01	gator masks for coronavirus	False	United States	1
2020-07-01	osha covid 19 guidance	False	United States	1
2020-07-01	osha face masks covid	False	United States	1
2020-07-01	covid face masks for sale	False	Germany	1
2020-07-01	covid cases in indiana	False	United States	1
2020-07-01	usa coronavirus deaths	False	Australia	1
2020-07-01	coronavirus update los angeles ca	False	United States	1
2020-07-01	coronavirus cases california	False	United States	1
2020-07-01	diagnosis code for covid antibody testing	False	United States	1
2020-07-01	coronavirus stats	False	Canada	4
2020-07-01	az covid 19 dashboard	False	United States	1
2020-07-01	osha mask regulations	True	United States	1
2020-07-01	gavin newsom	True	United States	5
