Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-07-01	sainsburys groceries	True	Peterborough	United Kingdom	44
2020-07-01	canada.ca	True	Manitoba	Canada	35
2020-07-01	coronavirus	False	Kent	United Kingdom	9
2020-07-01	worldometer coronavirus	False	Lincolnshire	United Kingdom	1
2020-07-01	sainsburys	True	Peterborough	United Kingdom	14
2020-07-01	jet2 holidays 2020	True	West Yorkshire	United Kingdom	5
2020-07-01	protezione civile	True	Veneto	Italy	3
2020-07-01	return to play gaa	True	County Dublin	Ireland	1
2020-07-01	congestion charge	True	Kent	United Kingdom	2
2020-07-01	covid 19	False	Nevada	United States	8
2020-07-01	wilko	True	Lincolnshire	United Kingdom	23
2020-07-01	public health england	True	Peterborough	United Kingdom	14
2020-07-01	hspc	True	County Dublin	Ireland	10
2020-07-01	companies house beta	True	Kent	United Kingdom	17
2020-07-01	wickes click and collect	True	Lincolnshire	United Kingdom	1
2020-07-01	nationwide building society	True	Peterborough	United Kingdom	18
2020-07-01	hpsc	True	County Dublin	Ireland	15
2020-07-01	companies house	True	Kent	United Kingdom	99
2020-07-01	wickes	True	Lincolnshire	United Kingdom	49
2020-07-01	mot check	True	Peterborough	United Kingdom	9
2020-07-01	gov.ie	True	County Dublin	Ireland	100
2020-07-01	charity commission	True	Kent	United Kingdom	3
2020-07-01	waitrose	True	Lincolnshire	United Kingdom	5
2020-07-01	morrisons	True	Peterborough	United Kingdom	35
2020-07-01	gaa.ie	True	County Dublin	Ireland	1
2020-07-01	center parcs	True	Kent	United Kingdom	5
2020-07-01	universal credit	True	Lincolnshire	United Kingdom	22
2020-07-01	jet2 holidays coronavirus	False	West Yorkshire	United Kingdom	2
2020-07-01	rai news	True	Veneto	Italy	2
2020-07-01	love holidays	True	Peterborough	United Kingdom	1
2020-07-01	gaa return to play	True	County Dublin	Ireland	12
2020-07-01	covid 19 map	False	Nevada	United States	3
2020-07-01	caravan and motorhome club	True	Kent	United Kingdom	4
2020-07-01	uk coronavirus update	False	Lincolnshire	United Kingdom	3
